Div,Date,HomeTeam,AwayTeam,FTHG+2,FTAG
E0,02/03/2019,Tottenham,Arsenal,3,1
E0,02/03/2019,West Ham,Newcastle,4,0
E0,02/03/2019,Wolves,Cardiff,4,0
E0,03/03/2019,Everton,Liverpool,2,0
E0,03/03/2019,Fulham,Chelsea,3,2
E0,03/03/2019,Watford,Leicester,4,1
E0,09/03/2019,Cardiff,West Ham,4,0
E0,09/03/2019,Crystal Palace,Brighton,3,2
E0,09/03/2019,Huddersfield,Bournemouth,2,2
E0,09/03/2019,Leicester,Fulham,5,1
E0,09/03/2019,Man City,Watford,5,1
E0,09/03/2019,Newcastle,Everton,5,2
E0,09/03/2019,Southampton,Tottenham,4,1
E0,10/03/2019,Arsenal,Man United,4,0
E0,10/03/2019,Chelsea,Wolves,3,1
E0,10/03/2019,Liverpool,Burnley,6,2
E0,16/03/2019,Bournemouth,Newcastle,4,2
E0,16/03/2019,Burnley,Leicester,3,2
E0,16/03/2019,West Ham,Huddersfield,6,3
E0,17/03/2019,Everton,Chelsea,4,0
E0,17/03/2019,Fulham,Liverpool,3,2
E0,30/03/2019,Brighton,Southampton,2,1
E0,30/03/2019,Burnley,Wolves,4,0
E0,30/03/2019,Crystal Palace,Huddersfield,4,0
E0,30/03/2019,Fulham,Man City,2,2
E0,30/03/2019,Leicester,Bournemouth,4,0
E0,30/03/2019,Man United,Watford,4,1
E0,30/03/2019,West Ham,Everton,2,2
E0,31/03/2019,Cardiff,Chelsea,3,2
E0,31/03/2019,Liverpool,Tottenham,4,1
E0,01/04/2019,Arsenal,Newcastle,4,0
E0,02/04/2019,Watford,Fulham,6,1
E0,02/04/2019,Wolves,Man United,4,1
E0,03/04/2019,Chelsea,Brighton,5,0
E0,03/04/2019,Man City,Cardiff,4,0
E0,03/04/2019,Tottenham,Crystal Palace,4,0
E0,05/04/2019,Southampton,Liverpool,3,3
E0,06/04/2019,Bournemouth,Burnley,3,3
E0,06/04/2019,Huddersfield,Leicester,3,4
E0,06/04/2019,Newcastle,Crystal Palace,2,1
E0,07/04/2019,Everton,Arsenal,3,0
E0,08/04/2019,Chelsea,West Ham,4,0
E0,12/04/2019,Leicester,Newcastle,2,1
E0,13/04/2019,Brighton,Bournemouth,2,5
E0,13/04/2019,Burnley,Cardiff,4,0
E0,13/04/2019,Fulham,Everton,4,0
E0,13/04/2019,Man United,West Ham,4,1
E0,13/04/2019,Southampton,Wolves,5,1
E0,13/04/2019,Tottenham,Huddersfield,6,0
E0,14/04/2019,Crystal Palace,Man City,3,3
E0,14/04/2019,Liverpool,Chelsea,4,0
E0,15/04/2019,Watford,Arsenal,2,1
E0,16/04/2019,Brighton,Cardiff,2,2
E0,20/04/2019,Bournemouth,Fulham,2,1
E0,20/04/2019,Huddersfield,Watford,3,2
E0,20/04/2019,Man City,Tottenham,3,0
E0,20/04/2019,Newcastle,Southampton,5,1
E0,20/04/2019,West Ham,Leicester,4,2
E0,20/04/2019,Wolves,Brighton,2,0
E0,21/04/2019,Arsenal,Crystal Palace,4,3
E0,21/04/2019,Cardiff,Liverpool,2,2
E0,21/04/2019,Everton,Man United,6,0
E0,22/04/2019,Chelsea,Burnley,4,2
E0,23/04/2019,Tottenham,Brighton,3,0
E0,23/04/2019,Watford,Southampton,3,1
E0,24/04/2019,Man United,Man City,2,2
E0,24/04/2019,Wolves,Arsenal,5,1
E0,26/04/2019,Liverpool,Huddersfield,7,0
E0,27/04/2019,Brighton,Newcastle,3,1
E0,27/04/2019,Crystal Palace,Everton,2,0
E0,27/04/2019,Fulham,Cardiff,3,0
E0,27/04/2019,Southampton,Bournemouth,5,3
E0,27/04/2019,Tottenham,West Ham,2,1
E0,27/04/2019,Watford,Wolves,3,2
E0,28/04/2019,Burnley,Man City,2,1
E0,28/04/2019,Leicester,Arsenal,5,0
E0,28/04/2019,Man United,Chelsea,3,1
E0,03/05/2019,Everton,Burnley,4,0
E0,04/05/2019,Bournemouth,Tottenham,3,0
E0,04/05/2019,Cardiff,Crystal Palace,4,3
E0,04/05/2019,Newcastle,Liverpool,4,3
E0,04/05/2019,West Ham,Southampton,5,0
E0,04/05/2019,Wolves,Fulham,3,0
E0,05/05/2019,Arsenal,Brighton,3,1
E0,05/05/2019,Chelsea,Watford,5,0
E0,05/05/2019,Huddersfield,Man United,3,1
E0,06/05/2019,Man City,Leicester,3,0
E0,12/05/2019,Brighton,Man City,3,4
E0,12/05/2019,Burnley,Arsenal,3,3
E0,12/05/2019,Crystal Palace,Bournemouth,7,3
E0,12/05/2019,Fulham,Newcastle,2,4
E0,12/05/2019,Leicester,Chelsea,2,0
E0,12/05/2019,Liverpool,Wolves,4,0
E0,12/05/2019,Man United,Cardiff,2,2
E0,12/05/2019,Southampton,Huddersfield,3,1
E0,12/05/2019,Tottenham,Everton,4,2
E0,12/05/2019,Watford,West Ham,3,4
